rank,title,severity,surface,effort,effort_days,pxl_score,pxl_max,verified,impact,summary,problem,recommended_change,evidence,analysts_agreeing,opportunity_low,opportunity_high,opportunity_basis,sample_per_variant,test_days,detail_page
1,Missing trust signals above the fold,HIGH,Trust & Proof,Medium,2-5 days,5,10,yes,trust,"The homepage shows no sign of returns policy, guarantee, security badge, so a first-time visitor has nothing to offset purchase risk.","The homepage shows no sign of returns policy, guarantee, security badge, so a first-time visitor has nothing to offset purchase risk.","notes: Surface review counts, the returns window and a guarantee near the primary call to action.","Measured on the live homepage: no match for returns policy, guarantee, security badge.",Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_1_missing_trust_signals_above_the_fold.html
2,Ambiguous search input labels,MEDIUM,Homepage,Low,0.5-2 days,5,10,no,conversion,"Repeated placeholder text without a clear label confuses users about what the search input accepts, hurting conversion.","Repeated placeholder text without a clear label confuses users about what the search input accepts, hurting conversion.",notes: Replace with a single explicit label such as 'Ask a question or search the web' and remove duplicates.,What do you want to know?What do you want to know?What do you want to know? Ask anything…,"Form & Interaction Friction, Navigation & Information Scent",0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_2_ambiguous_search_input_labels.html
3,Weak page metadata,MEDIUM,Site-Wide Seo,Medium,2-5 days,5,10,yes,traffic,"Search and social previews are degraded: page title (absent), meta description, Open Graph tags are missing or outside recommended lengths.","Search and social previews are degraded: page title (absent), meta description, Open Graph tags are missing or outside recommended lengths.",notes: Write a 15-60 char title and 70-160 char description per page; add og:title and og:image for link previews.,"Measured on the homepage: title 0 chars (15-60 recommended); description 0 chars (70-160 recommended); og:title missing, og:image missing.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_3_weak_page_metadata.html
4,Unclear navigation link destinations,MEDIUM,Navigation,Low,0.5-2 days,5,10,no,traffic,"Top navigation items lack descriptive labels, making it hard for users to predict where links lead.","Top navigation items lack descriptive labels, making it hard for users to predict where links lead.",notes: Add descriptive sublabels or tooltips to each navigation item.,New ⌃I Computer Computer Artifacts Artifacts Customize Customize Projects Projects,Navigation & Information Scent,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_4_unclear_navigation_link_destinations.html
5,Lab Largest Contentful Paint of 3.1 s,MEDIUM,Performance,Medium,2-5 days,5,10,yes,conversion,Measured in a lab load: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,Measured in a lab load: the page's main content takes this long to appear on a mid-range phone; most visitors have bounced long before.,notes: Largest Contentful Paint ≤ 2500ms (good),"Lighthouse (mobile emulation, single synthetic run via DataForSEO): Largest Contentful Paint 3.1 s against a ‘good’ threshold of 2500ms. Lab data, not real-user field data — confirms the defect class, not the field percentile.",Technical & Accessibility,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_5_lab_largest_contentful_paint_3_1s.html
6,No responsive viewport declared,URGENT,Mobile,Medium,2-5 days,4,10,yes,conversion,"Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making every tap target too small and severely hurting mobile conversion.","Without a viewport meta tag, mobile browsers render the desktop layout scaled down, making every tap target too small and severely hurting mobile conversion.","notes: Add <meta name=""viewport"" content=""width=device-width, initial-scale=1"">","Measured on the mobile render: no <meta name=""viewport""> present.",Technical & Accessibility,0.4,1.6,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 2.0-8.0% relative lift",124891,,finding_6_no_responsive_viewport_declared.html
7,Inactive ticker lacks guidance,HIGH,/Finance/Flt.V/History,Medium,2-5 days,3,10,no,conversion,"The inactive ticker page dead-ends users by stating the ticker is inactive without offering a search or alternative action, causing them to leave.","The inactive ticker page dead-ends users by stating the ticker is inactive without offering a search or alternative action, causing them to leave.",notes: Provide a search field or prominent link to search for another ticker directly on the page.,This ticker is no longer active.,"Form & Interaction Friction, Navigation & Information Scent",0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_7_inactive_ticker_lacks_guidance.html
8,No trust signals on finance pages,HIGH,"/Finance/Nvda, /Finance/Amd, /Fina",Medium,2-5 days,3,10,no,trust,"Finance pages lack credibility markers near decision points, reducing user trust and hurting conversion.","Finance pages lack credibility markers near decision points, reducing user trust and hurting conversion.","notes: Add a trust strip with data-source citations, update timestamps, and a security badge near price and analyst consensus.",Cookie Policy | Notable Price Movement | Stories & Analysis | Analyst Consensus | Related Prediction Markets,Trust & Social Proof,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_8_no_trust_signals_on_finance_pages.html
9,Unlabeled ticker symbol input,MEDIUM,"Finance Pages (E.G., /Finance/Nvda",Low,0.5-2 days,3,10,no,conversion,"The ticker input lacks a visible label or hint, adding friction for users wanting to look up another stock.","The ticker input lacks a visible label or hint, adding friction for users wanting to look up another stock.","notes: Add visible label and helper text like 'Enter a stock symbol (e.g., AAPL)'.",NVIDIA Corporation NVDA · NASDAQ,Form & Interaction Friction,0.1,0.4,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 0.5-2.0% relative lift",1941808,,finding_9_unlabeled_ticker_symbol_input.html
10,Controls without accessible names,HIGH,Accessibility,Low,0.5-2 days,2,10,yes,trust,"12 of 22 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","12 of 22 buttons expose no text label, so screen readers and voice control cannot address them and the control is unusable.","notes: Give every control a visible text label or an aria-label. WCAG 2.2 AA, success criterion 4.1.2 Name, Role, Value.",Measured on the live homepage: 12 of 22 <button> elements contain no text content and no aria-label.,Technical & Accessibility,0.2,1.0,"per 1,000 visitors at an assumed 2.00% baseline conversion rate and a 1.0-5.0% relative lift",315206,,finding_10_controls_without_accessible_names.html
